tiempo_s,duty,pulsos_por_segundo
5.3072,0.4,-699.86
5.32721,0.4,-699.72
5.34724,0.4,-699.021
5.36725,0.4,-699.58
5.38727,0.4,-699.44
5.40729,0.4,-699.301
5.42734,0.4,-698.324
5.44735,0.4,-699.44
5.46738,0.4,-748.802
5.48742,0.4,-698.882
5.50747,0.4,-698.045
5.5275,0.4,-699.161
5.54756,0.4,-697.906
5.56757,0.4,-699.58
5.58763,0.4,-697.906
5.60766,0.4,-698.882
5.62772,0.4,-698.045
5.64773,0.4,-699.44
5.66778,0.4,-748.055
5.68781,0.4,-699.161
5.70785,0.4,-698.603
5.72788,0.4,-699.021
5.74789,0.4,-699.44
5.76792,0.4,-699.021
5.78795,0.4,-699.021
5.80796,0.4,-699.72
5.82802,0.4,-747.757
5.84805,0.4,-698.742
5.86806,0.4,-699.86
5.88806,0.4,-699.72
5.90808,0.4,-699.301
5.92813,0.4,-698.463
5.94817,0.4,-698.603
5.96818,0.4,-699.44
5.98823,0.4,-698.463
6.00823,0.6,-749.85
6.02825,0.6,-699.301
6.04829,0.6,-748.503
6.06832,0.6,-799.041
6.08833,0.6,-799.361
6.10838,0.6,-797.925
6.12839,0.6,-799.68
6.14842,0.6,-848.981
6.16842,0.6,-899.64
6.18847,0.6,-847.965
6.20853,0.6,-897.308
6.22857,0.6,-898.204
6.24859,0.6,-899.281
6.26861,0.6,-899.101
6.28862,0.6,-949.62
6.30866,0.6,-947.915
6.32869,0.6,-898.742
6.34875,0.6,-997.009
6.36876,0.6,-949.43
6.3888,0.6,-948.104
6.40884,0.6,-947.915
6.42888,0.6,-998.004
6.44889,0.6,-949.81
6.46889,0.6,-1000
6.48892,0.6,-998.602
6.50893,0.6,-999.201
6.52893,0.6,-950
6.54894,0.6,-999.6
6.56897,0.6,-998.602
6.58903,0.6,-1046.859
6.6091,0.6,-996.612
6.62912,0.6,-998.602
6.64916,0.6,-998.403
6.66918,0.6,-1048.742
6.68922,0.6,-997.805
6.70923,0.6,-999.6
6.72928,0.6,-1047.277
6.74929,0.6,-999.6
6.76932,0.6,-1048.323
6.78938,0.6,-997.208
6.80944,0.6,-1046.859
6.8295,0.6,-1047.068
6.84951,0.6,-999.201
6.86954,0.6,-1048.323
6.88962,0.6,-1046.234
6.90967,0.6,-997.208
6.92969,0.6,-1048.951
6.94975,0.6,-1046.859
6.96978,0.6,-998.801
6.98983,0.6,-1047.277
7.00984,0.6,-1049.37
7.02989,0.6,-1047.486
7.0499,0.6,-1049.58
7.06994,0.6,-997.805
7.09,0.6,-1046.859
7.11,0.6,-1049.79
7.13001,0.6,-1049.79
7.15004,0.6,-1048.532
7.1701,0.6,-1046.442
7.19013,0.6,-998.801
7.21016,0.6,-1048.323
7.23021,0.6,-1047.277
7.25024,0.6,-1048.323
7.27028,0.6,-1048.323
7.29028,0.6,-1050
7.31029,0.6,-1049.161
7.33035,0.6,-1046.859
7.35038,0.6,-1048.532
7.3704,0.6,-1049.161
7.39042,0.6,-1048.951
7.41047,0.6,-1047.277
7.43047,0.6,-1049.79
7.45048,0.6,-1049.79
7.4705,0.6,-1048.742
7.49055,0.6,-1047.486
7.51059,0.6,-1047.904
7.53065,0.6,-1046.651
7.55065,0.6,-1050
7.57067,0.6,-1049.161
7.5907,0.6,-1048.113
7.61074,0.6,-1047.904
7.6308,0.6,-1047.068
7.65081,0.6,-1049.58
7.67084,0.6,-1048.323
7.69086,0.6,-1048.951
7.71086,0.6,-1049.79
7.7309,0.6,-1048.113
7.7509,0.6,-1050
7.77094,0.6,-1047.904
7.79098,0.6,-1047.695
7.81101,0.6,-1048.532
7.83106,0.6,-1097.366
7.8511,0.6,-1047.904
7.87111,0.6,-1049.37
7.89112,0.6,-1049.79
7.91114,0.6,-1048.742
7.9312,0.6,-1047.068
7.95123,0.6,-1048.113
7.9713,0.6,-1046.651
7.99133,0.6,-1048.323
8.0114,0.6,-1096.273
8.03144,0.6,-1047.486
8.0515,0.6,-1046.859
8.07151,0.6,-1049.79
8.09152,0.6,-1049.161
8.11156,0.6,-1048.113
8.1316,0.6,-1048.113
8.15162,0.6,-1048.742
8.17166,0.6,-1098.024
8.19168,0.6,-1048.951
8.21174,0.6,-1046.859
8.23174,0.6,-1049.58
8.25179,0.6,-1047.695
8.27184,0.6,-1047.486
8.29186,0.6,-1048.742
8.31189,0.6,-1098.243
8.33194,0.6,-1047.277
8.35196,0.6,-1049.161
8.37201,0.6,-1047.277
8.39202,0.6,-1049.79
8.41208,0.6,-1096.71
8.43214,0.6,-1046.859
8.45216,0.6,-1048.742
8.47222,0.6,-1047.068
8.49222,0.6,-1049.58
8.51225,0.6,-1098.462
8.53229,0.6,-1048.113
8.55233,0.6,-1047.695
8.57238,0.6,-1047.486
8.59244,0.6,-1047.068
8.61245,0.6,-1099.34
8.63249,0.6,-1047.904
8.65254,0.6,-1047.068
8.67255,0.6,-1049.79
8.69258,0.6,-1048.113
8.71264,0.6,-1096.929
8.73265,0.6,-1049.58
8.75265,0.6,-1050
8.77266,0.6,-1049.161
8.79268,0.6,-1099.121
8.81269,0.6,-1049.37
8.8327,0.6,-1049.37
8.85275,0.6,-1047.695
8.87279,0.6,-1047.904
8.89281,0.6,-1098.682
8.91286,0.6,-1047.277
8.93289,0.6,-1048.742
8.95289,0.6,-1050
8.97294,0.6,-1097.147
8.99295,0.6,-1049.58
9.01298,0.6,-1048.113
9.033,0.6,-1099.34
9.05304,0.6,-1047.904
9.07308,0.6,-1047.904
9.09313,0.6,-1047.068
9.11316,0.6,-1098.462
9.13318,0.6,-1049.161
9.15324,0.6,-1046.859
9.17324,0.6,-1049.58
9.19329,0.6,-1097.366
9.21334,0.6,-1047.486
9.23339,0.6,-1047.277
9.25342,0.6,-1098.462
9.27346,0.6,-1047.904
9.29347,0.6,-1049.58
9.31352,0.6,-1047.277
9.33356,0.6,-1097.585
9.35356,0.6,-1050
9.37358,0.6,-1049.37
9.39358,0.6,-1099.56
9.41364,0.6,-1046.859
9.43367,0.6,-1048.742
9.45367,0.6,-1050
9.47371,0.6,-1097.585
9.49373,0.6,-1048.951
9.51375,0.6,-1049.161
9.53375,0.6,-1049.79
9.55378,0.6,-1098.243
9.57382,0.6,-1048.113
9.59388,0.6,-1046.859
9.6139,0.6,-1099.121
9.63396,0.6,-1046.859
9.65402,0.6,-1046.859
9.67402,0.6,-1100
9.69403,0.6,-1049.161
9.71406,0.6,-1048.323
9.73407,0.6,-1099.78
9.75407,0.6,-1050
9.77408,0.6,-1049.58
9.79412,0.6,-1047.486
9.81418,0.6,-1097.147
9.83424,0.6,-1046.859
9.85429,0.6,-1096.929
9.87433,0.6,-1047.904
9.89433,0.6,-1050
9.91438,0.6,-1097.585
9.93441,0.6,-1048.323
9.95446,0.6,-1047.277
9.9745,0.6,-1098.024
9.99456,0.6,-1046.859
10.0146,0.4,-1047.904
10.03464,0.4,-1047.486
10.05466,0.4,-1049.161
10.07467,0.4,-999.6
10.0947,0.4,-998.203
10.11477,0.4,-996.81
10.13482,0.4,-997.606
10.15485,0.4,-948.482
10.17489,0.4,-947.915
10.1949,0.4,-949.62
10.2149,0.4,-949.81
10.23492,0.4,-899.46
10.25493,0.4,-899.281
10.27495,0.4,-949.051
10.29498,0.4,-848.981
10.31498,0.4,-899.82
10.33502,0.4,-898.204
10.35503,0.4,-849.49
10.37507,0.4,-848.303
10.3951,0.4,-898.742
10.41518,0.4,-846.782
10.43521,0.4,-798.563
10.45522,0.4,-849.66
10.47526,0.4,-848.303
10.49526,0.4,-800
10.51532,0.4,-847.458
10.53534,0.4,-799.361
10.55537,0.4,-798.563
10.57542,0.4,-847.796
10.59549,0.4,-797.289
10.61556,0.4,-797.448
10.63562,0.4,-797.607
10.65568,0.4,-797.448
10.67574,0.4,-747.757
10.69576,0.4,-799.361
10.7158,0.4,-798.403
10.73582,0.4,-748.951
10.75586,0.4,-798.563
10.77589,0.4,-748.802
10.79596,0.4,-797.448
10.81598,0.4,-749.101
10.83598,0.4,-799.84
10.85602,0.4,-748.802
10.87608,0.4,-747.608
10.89614,0.4,-797.607
10.91617,0.4,-748.802
10.93624,0.4,-747.608
10.95627,0.4,-748.802
10.97627,0.4,-750
10.9963,0.4,-748.802
11.01633,0.4,-748.951
11.03633,0.4,-750
11.05633,0.4,-749.85
11.07634,0.4,-749.7
11.09638,0.4,-748.503
11.11644,0.4,-747.757
11.13648,0.4,-748.354
11.15653,0.4,-748.204
11.17658,0.4,-748.204
11.19659,0.4,-749.7
11.2166,0.4,-749.55
11.23661,0.4,-699.58
11.25663,0.4,-749.401
11.27667,0.4,-748.503
11.29673,0.4,-747.757
11.31674,0.4,-749.55
11.3368,0.4,-697.906
11.35682,0.4,-749.251
11.37688,0.4,-747.757
11.39693,0.4,-698.324
11.41696,0.4,-748.802
11.43696,0.4,-750
11.45697,0.4,-699.58
11.47697,0.4,-750
11.497,0.4,-699.161
11.517,0.4,-750
11.53703,0.4,-748.802
11.55709,0.4,-697.906
11.57714,0.4,-748.204
11.59716,0.4,-749.101
11.61721,0.4,-698.324
11.63723,0.4,-749.251
11.65724,0.4,-699.58
11.67729,0.4,-748.204
11.69733,0.4,-698.603
11.71739,0.4,-747.608
11.7374,0.4,-749.55
11.75746,0.4,-698.185
11.77748,0.4,-749.101
11.7975,0.4,-699.301
11.81755,0.4,-748.204
11.83758,0.4,-748.652
11.85759,0.4,-699.72
11.87763,0.4,-748.652
11.89766,0.4,-698.742
11.91768,0.4,-749.401
11.93773,0.4,-698.324
11.95774,0.4,-749.401
11.97779,0.4,-698.463
11.99781,0.4,-749.101
12.01784,0.4,-748.951
12.03785,0.4,-699.58
12.05789,0.4,-748.503
12.07791,0.4,-699.301
12.09791,0.4,-750
